시도,시군구,행정구역코드,법정구역코드,년도,EQ5D,학사_비율,소득액,실업급여지급자수(년),실업급여지급건수(년),실업급여지급액(년),인구수,경제활동가능인구,인구_실업급여자_비율,경제활동가능인구_실업급여자_비율,계_전체인구,0-4세_전체인구,5-9세_전체인구,10-14세_전체인구,15-19세_전체인구,20-24세_전체인구,25-29세_전체인구,30-34세_전체인구,35-39세_전체인구,40-44세_전체인구,45-49세_전체인구,50-54세_전체인구,55-59세_전체인구,60-64세_전체인구,65-69세_전체인구,70-74세_전체인구,75-79세_전체인구,80-84세_전체인구,85-89세_전체인구,90-94세_전체인구,95-99세_전체인구,100세이상_전체인구,계_여성인구,0-4세_여성인구,5-9세_여성인구,10-14세_여성인구,15-19세_여성인구,20-24세_여성인구,25-29세_여성인구,30-34세_여성인구,35-39세_여성인구,40-44세_여성인구,45-49세_여성인구,50-54세_여성인구,55-59세_여성인구,60-64세_여성인구,65-69세_여성인구,70-74세_여성인구,75-79세_여성인구,80-84세_여성인구,85-89세_여성인구,90-94세_여성인구,95-99세_여성인구,100세이상_여성인구,면적,지하철_노선_개수,지하철_역_개수,도로_노드_개수,도로_링크_개수,버스_노선_개수,버스_정류장_개수,대중교통_노선_개수,대중교통_정류장_역_개수,대중교통_노선_면적,대중교통_역_노선_면적,도로_노드_면적,도로_링크_면적
경기,수원시,31010,41110,2017,0.957,0.3241964424354307,2648265,30479,116096,122563419560,1216996,908013.5,0.02504445372047238,0.03356668155264211,1189510.0,56523.0,59530.0,58969.0,75956.5,92268.5,91564.5,91308.5,104307.5,102941.0,110826.5,96623.0,87101.5,55116.0,35396.5,27180.5,21401.0,13292.5,6384.5,2241.5,512.0,66.0,591117.0,27457.5,28852.0,28581.5,36309.0,44188.0,43025.5,43987.0,51262.0,51334.5,56095.0,47908.0,42693.5,27965.5,18360.5,14885.5,12633.5,8713.5,4670.0,1715.5,421.5,58.0,121054375,3.0,13.0,1573,4666,176,1186,179.0,1199.0,1.4786743560486765e-06,9.904639960348397e-06,1.2994160681924961e-05,3.8544662264374995e-05
경기,수원시,31010,41110,2018,0.966,0.3241964424354307,2746762,32944,128414,154900824080,1218843,909508.5,0.02702891184508587,0.03622176153383943,1193038.0,53096.0,58860.5,58554.5,72034.5,90669.0,95489.0,87877.5,104806.5,99713.0,110478.5,98317.5,90333.0,59790.0,37545.0,28387.0,22795.5,14318.5,6862.5,2435.0,605.0,70.0,592730.5,25726.5,28519.5,28422.5,34446.0,43471.5,44628.0,42097.0,51461.5,49619.5,55515.0,49522.5,44312.5,30139.5,19441.5,15444.5,13332.0,9250.0,4955.0,1875.5,487.5,63.0,121041549,3.0,13.0,1573,4666,176,1186,179.0,1199.0,1.4788310417276633e-06,9.905689491795912e-06,1.299553759015427e-05,3.854874659609652e-05
경기,성남시,31020,41130,2015,0.962,0.3957144330718017,2408522,26650,102596,96499590230,948757,728718.5,0.02808938432074809,0.03657104904019865,962978.5,41784.5,41831.5,48433.0,62066.5,67539.0,67407.0,80921.0,77462.5,88483.0,86210.0,81438.0,70838.0,46353.5,35424.5,27645.5,19473.0,11375.0,5725.5,2095.5,402.5,69.5,484561.5,20264.5,20343.5,23315.0,29844.0,32846.0,33589.0,39768.5,38571.0,44722.5,43292.5,40873.5,35246.5,23455.5,18658.0,14883.0,11280.0,7509.0,4138.0,1587.5,317.0,57.0,141664693,3.0,17.0,1479,4423,225,1293,228.0,1310.0,1.6094341869642847e-06,9.247187653171988e-06,1.04401454496499e-05,3.122161144273259e-05
경기,성남시,31020,41130,2016,0.951,0.3957144330718017,2508011,26059,98816,98914473300,951518,727777.0,0.02738676514790051,0.0358062978082572,961821.0,40836.5,42197.0,45149.0,60256.0,67344.5,68035.5,76806.0,78458.0,83976.0,88465.5,79053.0,74203.5,51179.0,36221.0,28011.0,20417.5,12331.0,6140.5,2217.5,444.0,79.0,484847.0,19912.5,20478.5,21801.5,29070.0,32722.5,33879.5,37825.5,39163.0,42552.5,44503.5,39471.5,37149.0,26026.0,18952.0,15148.0,11662.0,7991.5,4419.5,1709.0,344.5,65.0,141664549,3.0,17.0,1479,4423,225,1293,228.0,1310.0,1.6094358229312544e-06,9.247197052806768e-06,1.0440156061909321e-05,3.1221643179056745e-05
경기,성남시,31020,41130,2017,0.952,0.3957144330718017,2614110,24972,96279,101719953280,944297,723560.5,0.02644506971853135,0.03451266341929942,959515.0,39260.5,42323.0,44088.0,57214.5,66233.0,69426.5,72191.0,79256.5,80241.0,90066.0,77300.5,76412.0,55219.5,37014.0,28506.0,22041.0,13203.0,6561.0,2338.0,535.5,84.5,484389.0,19189.5,20535.5,21339.0,27691.5,32220.5,34366.5,35731.5,39636.5,40753.5,45323.5,38476.0,38493.0,28069.5,19277.5,15517.0,12411.0,8391.0,4679.5,1804.0,413.0,70.0,141659163,3.0,17.0,1479,4423,225,1293,228.0,1310.0,1.6094970150289538e-06,9.247548638982147e-06,1.0440553005385186e-05,3.1222830252074834e-05
경기,성남시,31020,41130,2018,0.958,0.3957144330718017,2678404,25455,100743,121734772180,931393,712850.0,0.02733003146899322,0.03570877463702041,949574.5,36282.5,41626.5,43445.0,53757.5,64221.5,70290.5,67990.0,78646.0,76259.0,89389.5,77260.5,76407.5,58628.0,38182.0,29554.5,23347.5,14130.0,6944.0,2518.0,618.0,76.5,479670.5,17734.0,20186.0,21068.5,26089.0,31342.0,34408.5,33674.5,39351.0,38747.0,44941.5,38652.0,38621.5,29678.0,19831.0,16075.5,13094.5,8805.0,4897.0,1938.5,471.5,64.0,141638215,3.0,17.0,1479,4423,225,1293,228.0,1310.0,1.6097350563193697e-06,9.248916332361291e-06,1.044209714165065e-05,3.1227448044300755e-05
경기,의정부시,31030,41150,2015,0.949,0.2179553619267627,1549317,12384,47895,42706565970,421579,315520.5,0.02937527723155091,0.03924943070260094,426561.5,18037.5,19493.5,22460.5,28992.5,31182.5,25198.5,29503.0,31637.0,39261.0,38965.0,37428.0,32191.0,21162.0,16839.0,14348.0,10630.5,5668.5,2526.5,838.0,170.5,28.5,215899.5,8743.5,9490.0,10874.5,13971.5,15129.0,12451.5,14570.5,15770.5,19865.0,19872.5,18641.5,16097.5,10981.0,9066.0,7964.5,6249.0,3578.5,1816.0,617.0,129.0,21.0,81535735,3.0,21.0,1193,3359,69,641,72.0,662.0,8.830483958965967e-07,8.119139417827043e-06,1.4631621337564444e-05,4.119666058078706e-05
경기,의정부시,31030,41150,2016,0.954,0.2179553619267627,1600460,12490,47662,46722806910,424722,318669.0,0.02940747124001111,0.03919427368209647,430060.0,17672.0,19577.5,20920.5,28317.5,31792.5,26119.0,28109.5,32025.5,37463.5,39828.5,37261.0,34257.0,23495.0,17143.0,14540.5,11321.5,6353.0,2750.0,888.5,196.0,28.5,217738.0,8580.0,9517.5,10164.0,13660.0,15419.0,12881.5,13850.0,15850.5,18928.5,20365.5,18613.5,17094.0,12145.5,9239.5,8053.0,6577.0,3994.5,1969.0,664.5,148.0,23.0,81539185,3.0,21.0,1193,3359,69,641,72.0,662.0,8.830110332841811e-07,8.118795889362887e-06,1.4631002259833723e-05,4.119491751113284e-05
경기,의정부시,31030,41150,2017,0.958,0.2179553619267627,1684816,12102,45967,48302087070,426530,320891.0,0.02837315077485757,0.03771374080295178,433748.0,17142.0,19646.5,20301.5,27170.5,31721.5,27514.5,26860.0,32657.5,35608.5,40828.5,37051.0,35949.5,25529.5,17534.5,14777.0,12236.5,7028.5,2966.0,971.5,221.5,31.5,219702.5,8346.0,9547.5,9870.5,13118.0,15390.0,13515.5,13258.5,16090.5,17963.0,20814.0,18593.0,17974.0,13113.5,9446.5,8161.0,7073.5,4415.0,2086.5,734.5,164.0,27.5,81539418,3.0,21.0,1193,3359,69,641,72.0,662.0,8.830085100680999e-07,8.118772689792806e-06,1.4630960451545043e-05,4.119479979609371e-05
경기,의정부시,31030,41150,2018,0.969,0.2179553619267627,1742987,13357,51942,62181234390,432286,323079.5,0.03089852551320191,0.04134276548032295,438076.0,16559.0,19638.5,20090.0,25873.5,31377.0,29115.0,26006.5,33497.0,34002.0,41176.5,37550.5,36816.5,27665.0,18134.0,15298.0,12961.5,7699.0,3241.5,1083.0,260.5,31.5,222002.0,8021.0,9576.5,9740.0,12477.5,15309.5,14267.0,12857.0,16426.0,17065.0,20890.0,19027.5,18480.0,14128.0,9713.0,8440.5,7479.0,4817.0,2246.0,820.0,194.0,27.5,81542958,3.0,21.0,1193,3359,69,641,72.0,662.0,8.829701762842599e-07,8.118420231946945e-06,1.4630325282043362e-05,4.1193011418594847e-05
