시도,시군구,년도,행정구역코드,사회적_불평등_지수,법정구역코드,학사_비율,소득액,EQ5D,인구수,0-4세_전체인구,5-9세_전체인구,10-14세_전체인구,15-19세_전체인구,20-24세_전체인구,25-29세_전체인구,30-34세_전체인구,35-39세_전체인구,40-44세_전체인구,45-49세_전체인구,50-54세_전체인구,55-59세_전체인구,60-64세_전체인구,65-69세_전체인구,70-74세_전체인구,75-79세_전체인구,80-84세_전체인구,85-89세_전체인구,90-94세_전체인구,95-99세_전체인구,100세이상_전체인구,계_여성인구,0-4세_여성인구,5-9세_여성인구,10-14세_여성인구,15-19세_여성인구,20-24세_여성인구,25-29세_여성인구,30-34세_여성인구,35-39세_여성인구,40-44세_여성인구,45-49세_여성인구,50-54세_여성인구,55-59세_여성인구,60-64세_여성인구,65-69세_여성인구,70-74세_여성인구,75-79세_여성인구,80-84세_여성인구,85-89세_여성인구,90-94세_여성인구,95-99세_여성인구,100세이상_여성인구,면적,대중교통_노선_개수,대중교통_정류장_역_개수,대중교통_노선_면적,대중교통_역_노선_면적,도로_노드_면적,도로_링크_면적,도서관 수,시설_연면적,개관일수,AGE,도서_국내_총류,도서_국내_철학,도서_국내_종교,도서_국내_사회과학,도서_국내_순수과학,도서_국내_기술과학,도서_국내_예술,도서_국내_언어,도서_국내_문학,도서_국내_역사,대출권수_어린이_총류,대출권수_어린이_철학,대출권수_어린이_종교,대출권수_어린이_사회과학,대출권수_어린이_순수과학,대출권수_어린이_기술과학,대출권수_어린이_예술,대출권수_어린이_언어,대출권수_어린이_문학,대출권수_어린이_역사,대출권수_청소년_총류,대출권수_청소년_철학,대출권수_청소년_종교,대출권수_청소년_사회과학,대출권수_청소년_순수과학,대출권수_청소년_기술과학,대출권수_청소년_예술,대출권수_청소년_언어,대출권수_청소년_문학,대출권수_청소년_역사,대출권수_성인_총류,대출권수_성인_철학,대출권수_성인_종교,대출권수_성인_사회과학,대출권수_성인_순수과학,대출권수_성인_기술과학,대출권수_성인_예술,대출권수_성인_언어,대출권수_성인_문학,대출권수_성인_역사,총_국내도서권수,총_대출권수
경기도,광명시,2018,31060,-1.431737042904627,41210,0.2821865726655964,2160589,0.965,323460,13187.5,15943.5,16485.5,19228.0,21235.5,21155.0,21682.0,27634.5,27776.0,30433.5,26151.5,26357.5,20988.5,13274.5,9618.0,7759.5,4624.0,2190.0,681.5,158.5,25.0,164896.5,6423.0,7745.5,8052.5,9251.5,10033.0,10113.0,10703.0,13821.0,13937.0,15295.5,13050.5,13603.5,10895.0,6895.0,5192.0,4551.0,3070.0,1588.5,529.0,125.0,22.0,38525106,69.0,549.0,1.7910398481447395e-06,1.4250447487412494e-05,9.110941836214546e-06,2.803366718835245e-05,5,7101.726,295.6,12.0,37798,48723,33682,169546,53648,72967,43166,37697,271380,69938,8847,7513,3201,41146,41625,12832,7817,21960,176340,32030,2602.0,3458.0,749.0,10337.0,7512.0,4505.0,2667.0,2826.0,31961.0,5848.0,29950.0,39725.0,15308.0,128696.0,52633.0,58490.0,23957.0,40271.0,343215.0,70989,838545,1229010.0
경기도,평택시,2015,31070,-0.4735452296068799,41220,0.2051806623999446,2268575,0.956,457873,23341.0,23886.5,25294.5,30514.0,30101.0,26853.0,34897.0,37126.5,42121.0,40125.5,36535.0,29734.0,19180.5,15122.0,13398.0,10907.5,6028.0,2692.5,883.5,171.0,30.5,219662.5,11397.0,11649.5,12191.5,14579.0,14154.0,12408.5,16489.5,17651.0,20125.5,19277.0,17099.5,14239.5,9757.5,7947.5,7586.5,6462.0,3919.0,1935.0,638.5,127.0,28.0,458124341,119.0,1559.0,2.597548074835866e-07,3.4030062593858114e-06,5.2038274037047945e-06,1.4729625553775147e-05,7,1900.231428571429,268.5714285714286,13.14285714285714,27825,36431,17451,122899,51691,48200,45003,23616,300429,66147,2930,3824,1507,11764,10580,5370,7719,4331,46679,8052,1880.0,2660.0,959.0,7868.0,5703.0,4167.0,5425.0,2674.0,28739.0,5262.0,22937.0,31707.0,14131.0,104855.0,78579.0,50955.0,67201.0,36040.0,370373.0,68425,739692,1013296.0
경기도,평택시,2016,31070,-1.66098320646436,41220,0.2051806623999446,2380862,0.948,472254,23290.0,24533.0,24151.0,30250.5,31163.5,28201.5,33875.0,38463.5,41704.5,41851.0,36983.0,32467.5,21486.0,15586.0,13315.0,11199.5,6692.0,2918.5,944.0,191.5,37.5,224444.0,11394.0,11945.5,11732.0,14412.5,14675.0,12894.5,16029.0,18130.5,19967.5,20115.5,17253.0,15489.5,10838.5,8216.0,7471.0,6609.5,4284.0,2109.5,703.0,140.5,33.5,458081968,119.0,1559.0,2.597788350402826e-07,3.403321040569752e-06,5.204308762487678e-06,1.4730988057578376e-05,7,1900.231428571429,301.1428571428572,14.14285714285714,26924,34975,16567,119163,50440,48627,45770,23420,297093,65272,3225,4663,2066,16738,17334,6549,12547,6567,66437,12066,1363.0,2403.0,744.0,6150.0,5093.0,3376.0,7259.0,2132.0,25235.0,4610.0,15831.0,28088.0,10387.0,82240.0,55919.0,43296.0,65515.0,25966.0,283410.0,50141,728251,867350.0
경기도,평택시,2017,31070,-1.323501252734561,41220,0.2051806623999446,2464465,0.938,486077,22736.5,24955.0,24106.0,29497.5,31737.0,30046.0,32591.0,40016.5,41268.5,43732.5,37552.0,35008.0,23450.0,16088.5,13283.0,11825.0,7342.0,3171.5,1027.0,220.5,43.5,228889.0,11140.0,12149.0,11744.5,14050.5,14915.0,13569.0,15331.0,18778.5,19729.0,20895.0,17558.0,16634.0,11694.0,8487.0,7336.5,6966.5,4649.5,2283.5,779.0,162.5,37.0,458076120,119.0,1559.0,2.5978215149045535e-07,3.4033644888539484e-06,5.20437520296845e-06,1.4731176119811702e-05,8,1813.92875,285.625,13.375,29294,38459,17790,131614,55672,54516,50213,25030,327115,71321,3668,4217,1937,17744,21477,6488,15400,7605,69776,12976,1543.0,2058.0,576.0,6372.0,5707.0,3291.0,10207.0,2272.0,25585.0,4649.0,18678.0,28176.0,9943.0,87389.0,52384.0,45862.0,68452.0,26418.0,283496.0,50858,801024,895204.0
경기도,평택시,2018,31070,1.077173805369962,41220,0.2051806623999446,2604783,0.953,504485,22119.5,25373.5,24534.5,28596.0,32206.5,32261.0,32162.0,41335.5,41047.5,45239.5,39283.0,36740.0,25543.0,16831.5,13580.5,12319.5,8026.0,3426.5,1138.5,261.0,44.0,234238.0,10808.0,12360.0,11957.5,13701.5,15101.0,14348.5,14900.5,19446.5,19484.0,21485.5,18592.0,17400.5,12564.5,8839.5,7415.5,7223.5,5078.5,2436.5,863.0,197.5,34.0,458264764,119.0,1559.0,2.596752125590001e-07,3.401963498987236e-06,5.202232829753413e-06,1.472511205334565e-05,10,2037.482,261.4,11.7,29352,43825,18878,141463,60556,61128,54425,25248,354717,77370,5373,5215,2663,20975,26028,8636,19781,10431,86991,16365,1649.0,2103.0,509.0,6555.0,5926.0,3311.0,9508.0,2270.0,29554.0,4838.0,20960.0,32988.0,10844.0,100249.0,59083.0,53377.0,75769.0,31823.0,327409.0,56997,866962,1038180.0
경기도,동두천시,2015,31080,1.251253225951011,41250,0.1445221751171429,1612494,0.958,97424,4290.5,4659.0,4868.5,5954.0,6012.0,5068.0,6421.0,6975.5,8339.5,8153.0,7927.0,7277.5,4989.0,4368.0,4217.5,3408.0,1754.5,794.0,242.5,63.0,6.0,47925.0,2076.5,2344.5,2369.5,2828.0,2779.5,2410.0,3169.5,3435.5,4013.0,3797.5,3800.5,3525.5,2589.5,2406.0,2494.5,2049.5,1081.5,541.0,163.0,46.0,4.5,95667585,39.0,332.0,4.0766159195928285e-07,3.470349962320048e-06,5.362317863464412e-06,1.4978950289170568e-05,2,2344.75,328.0,15.5,15278,13701,6748,52359,24532,17861,13028,9325,128177,24448,5585,4760,3095,21825,14614,5038,4974,4760,60729,11102,2981.0,3904.0,1825.0,9253.0,3208.0,4732.0,3029.0,2227.0,26247.0,4817.0,10719.0,12808.0,6851.0,31901.0,14415.0,14920.0,9927.0,8554.0,86438.0,16817,305457,412055.0
경기도,동두천시,2016,31080,-1.266492690820235,41250,0.1445221751171429,1687755,0.927,98625,4083.5,4719.0,4559.5,5826.5,6090.5,5067.5,6037.0,6834.0,8040.5,8310.5,7822.5,7676.5,5578.5,4429.0,4148.0,3636.5,1983.0,864.0,269.0,65.0,13.5,48133.0,1987.5,2341.0,2227.0,2785.5,2810.0,2416.5,2977.5,3354.0,3872.0,3907.0,3730.5,3737.5,2869.5,2441.0,2421.0,2202.5,1221.5,585.0,188.0,48.5,10.0,95673724,39.0,332.0,4.076354339463153e-07,3.470127283850684e-06,5.361973784986147e-06,1.4977989149873586e-05,2,2344.75,325.0,16.5,15771,14416,7018,53992,25302,18316,13286,9542,134684,25437,3264,3097,1230,11149,5953,3391,2447,2286,36054,4959,3821.0,4208.0,1562.0,14401.0,6805.0,4542.0,3453.0,2686.0,45459.0,6282.0,10452.0,9528.0,3856.0,34793.0,19169.0,10473.0,7445.0,7313.0,113259.0,15560,317764,398897.0
경기도,동두천시,2017,31080,0.656264300835327,41250,0.1445221751171429,1781673,0.966,97373,3776.5,4568.0,4477.0,5557.0,5996.0,5150.0,5531.0,6679.5,7616.5,8463.0,7691.0,7988.5,6037.5,4447.5,4140.5,3906.5,2225.0,949.0,300.0,71.5,19.5,47890.5,1832.5,2257.5,2202.0,2649.0,2751.5,2464.0,2704.5,3278.0,3679.5,4004.0,3623.0,3917.0,3050.0,2428.0,2387.5,2363.5,1374.5,638.5,222.0,49.0,15.0,95658808,39.0,332.0,4.076989962074376e-07,3.4706683779710077e-06,5.3628098731901405e-06,1.4980324655519437e-05,2,2344.75,320.5,17.5,15878,15244,7257,56469,26317,19306,13466,9689,141050,26239,1368,1293,466,5649,3459,1523,886,1580,20196,2624,1360.0,1412.0,517.0,5865.0,3258.0,1708.0,1074.0,1484.0,20130.0,2699.0,9021.0,10783.0,4036.0,41673.0,19578.0,13475.0,9287.0,8855.0,134062.0,18899,330915,348220.0
경기도,동두천시,2018,31080,-0.7122459337321966,41250,0.1445221751171429,1841616,0.957,97535,3397.5,4348.5,4383.5,5249.5,5876.5,5207.0,5031.0,6527.5,7059.5,8464.0,7722.0,8075.5,6444.0,4542.0,4260.5,4086.5,2445.5,1029.0,343.0,80.5,19.5,47352.5,1639.5,2150.0,2181.0,2511.0,2703.5,2441.5,2431.0,3206.0,3413.0,4048.0,3610.5,3940.5,3212.5,2442.0,2449.5,2449.5,1512.0,682.5,258.0,54.0,17.0,95663249,39.0,332.0,4.076800694904268e-07,3.470507258226197e-06,5.362560914066383e-06,1.49796292199944e-05,2,2344.75,309.0,18.5,15739,15712,7172,57589,26901,19934,13878,9652,146972,26646,868,835,331,3450,2179,989,614,981,12183,1899,1244.0,1288.0,515.0,5085.0,2756.0,1585.0,1099.0,1193.0,16748.0,2619.0,7800.0,8279.0,3321.0,32177.0,16460.0,10309.0,7377.0,7000.0,103368.0,16182,340195,270734.0
경기도,안산시,2015,31090,0.03493496396167488,41270,0.1980140671745477,2161757,0.947,747035,30478.5,32173.0,38965.5,54295.0,58071.0,47114.5,52094.0,53767.5,66433.5,71030.5,65113.0,47539.5,25531.5,17518.5,14388.0,11286.0,6693.5,3053.5,1048.5,193.0,28.0,340513.0,15044.0,15647.0,18840.0,25934.0,27820.0,22144.0,24155.0,25773.0,32919.5,35462.5,30608.0,22013.5,12315.5,8878.5,8156.5,7034.0,4517.5,2263.0,797.5,164.5,25.5,150794392,78.0,1267.0,5.172606153682426e-07,8.402169226558505e-06,9.821320145645736e-06,3.1619213000971546e-05,9,2258.157777777777,296.4444444444445,9.222222222222221,32945,47056,30757,149701,52603,54834,38636,36367,285913,75015,4904,4312,3859,23340,26944,4864,4477,10856,79378,19048,2589.0,4508.0,1236.0,11712.0,11134.0,5242.0,4042.0,4791.0,54783.0,10196.0,24844.0,39970.0,18577.0,108755.0,45565.0,56027.0,27300.0,35603.0,325848.0,64503,803827,1039207.0
